Real_Duration,Status,sentiment,complexity,Comment_Body,Edge_type,Count_Comments,language[Comment_Body],Planned_Duration,emotionality,Count_Subtasks,keywords[Comment_Body],sentimentWords[Comment_Body],Uuid,Name,SourceUuid,TargetUuid,Starttime,Endtime
,open,,,,CREATION,0,ro,,,,,,f4f891dc-7541-4a29-aa29-6cb604c427d4,Little feature request for xed,15627077,15627077,2019-01-30T12:24:34.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,6d5c0647-59fa-4e9f-a2a0-bcc252b019fe,"Tabbed text does not preview, nor print properly",47048470,47048470,2019-01-26T04:47:00.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,3b14b0f9-11ef-431a-a3b9-96bc39db05ce,Screenshots,11966684,11966684,2019-01-21T21:13:11.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,97676b2e-cfb2-4986-8e5b-3d17cad00c2e,Preferences not saving in elevated privileges,35870988,35870988,2019-01-06T15:07:31.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,ec6e43b6-61ec-4fe9-868e-8c4a18ee672a,"Bug: increasing tab padding with each new ""Unsaved Document"" tab",46024456,46024456,2018-12-21T11:45:32.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,59db4c30-e43d-4cf8-adf5-d1ba0c799519,Primary selection copy-pasting (select and middle-mouse-click) within Xed,46024456,46024456,2018-12-21T09:44:04.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,f472c9f9-aa42-4f92-bfc8-4f578cf7b788,Feature request: add source code comments,6215449,6215449,2018-09-20T19:43:14.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,b593b924-ec20-4ce1-8611-5903a919fd71,xed help file has broken link,3486503,3486503,2018-09-16T21:11:20.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,d7111c91-bc18-4b18-8224-040826281ea6,[Bug] Closing one xed window kills all other open xed windows.,1299302,1299302,2018-09-05T19:30:02.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,4,ro,,,,,,2fafb254-f9f1-4b74-b859-17e48c1a6054,view zoom,31071746,31071746,2018-09-02T21:58:44.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,fb62b601-7f2a-4f48-88be-b3076cde4057,RFE: support for very large text files,1997316,1997316,2018-08-28T09:27:36.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,502c6557-7996-4a86-8eac-bd6f630dcd9a,feature request - list of recently opened files - that are removable from the list,34676884,34676884,2018-08-27T20:43:18.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,bc17ee36-d7c7-45a5-8743-2aa23a791eaa,[Suggestion] Add mint-looking dark theme to Xed,12682937,12682937,2018-07-27T00:00:01.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,fc90135e-0c91-4c45-bbb7-1e29d070927d,Allow pkexec xed,35854226,35854226,2018-07-16T20:54:26.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,d2fa013d-300a-4a96-a42c-5e225bf71514,Pressing Ctrl key spike up CPU load,20264855,20264855,2018-07-09T04:21:36.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,c60fe69b-db58-439d-b151-8521e739394a,First xed admin:// requires password to be entered twice,21488893,21488893,2018-07-06T15:03:04.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,e4b81165-759a-464b-8c3e-464c6fcf2608,xed adds carriage return in front of linefeed (Windoze style) for .json files,8131530,8131530,2018-06-27T05:45:18.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,5427be51-f003-4f72-b614-fb1122e61686,Feature Request: Split panes ( dual panes for multiple files at same time),20717654,20717654,2018-06-04T06:21:11.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,c2bee76a-6ca4-406b-a48e-e3b18583e4e2,A file opened in cp-1251 charset cannot be saved in UTF-8 charset.,8469953,8469953,2018-05-11T21:36:02.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,dd088091-daad-4cd8-8a50-4cb658863b94,Restoring open tabs between xed sessions,37563017,37563017,2018-05-11T06:08:38.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,9609febd-fc76-4623-b4ce-c48a75efaa5e,"Feature Request: Display Whitespace, Newlines",7553595,7553595,2018-05-09T03:01:05.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,cf329ed8-abf5-4f4f-82b3-182f691d1261,last line visibility,23329341,23329341,2018-03-17T23:27:27.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,8,ro,,,,,,3424a09f-ce1f-4149-b22a-22d2aad68358,Feature Request: highlight selected word occurances,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,bb7f3f6f-7a9d-422e-a55d-0798152e717e,Feature Request: Set left and top margins,3854941,3854941,2018-02-28T09:56:56.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,57d45078-aae8-41fe-af90-bf20728da139,context menu leaves foreground black rectangle,5819969,5819969,2018-02-28T05:45:23.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,a7cd0d42-6cdb-46ff-9723-0c1f9b6aff32,[feature request] Map F3 to Ctrl+G (Search Next),21488893,21488893,2018-01-30T15:37:24.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,4,ro,,,,,,78ef96bb-07ff-489a-8325-54aeda2d8373,Highlight as you type in Find hangs Xed,3799212,3799212,2018-01-17T10:58:12.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,8fd66d65-1529-429f-9002-b6d81adabbf1,Bug: replace all functionnality,3049832,3049832,2018-01-14T13:39:06.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,6,ro,,,,,,8f6835df-493a-4d94-be78-a777ca0e4161,"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",12874678,12874678,2018-01-13T21:11:42.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,e8bcf64f-1703-4277-9b05-103f2e1b00bb,Real (hard) lines wrapping,6018621,6018621,2018-01-12T17:07:01.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,8416ffe7-78d1-41b2-922c-41ec1b9a9366,Xed prevents system from suspending,12682937,12682937,2017-12-29T02:59:37.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,3,ro,,,,,,68fcccee-00cf-4542-b66d-8548f5118182,Xed won't open new documents in existing editor window,13141463,13141463,2017-12-11T22:43:27.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,23,ro,,,,,,1ad70901-3622-45b3-a069-190d3c3ccfb2,Xed corrupts files by placing a linebreak at the end of file,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,3,ro,,,,,,eae95f17-d423-4818-8189-6275d371b3fe,Feature request: vim keybindings,411642,411642,2017-11-06T23:49:01.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,1e5d017a-f337-48dc-855d-ccda2e2f7325,Feature request: snippets,622453,622453,2017-10-13T00:25:47.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,48bbe749-3414-4fc7-908a-01f9c8994b23,"Feature Request: Add ""search/replace in selection only""",6096063,6096063,2017-09-15T10:17:55.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,cf5f4d76-f3a5-4b6b-b1c5-9b87e188cfb3,RAM not released after huge file closed,566306,566306,2017-08-29T07:07:19.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,117586d5-2117-4dcb-b680-752d818f5354,"Feature request: Change Case, put it in Edit menu",30292158,30292158,2017-07-19T15:39:43.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,ea89c73e-3ce0-403d-8931-9ff530d584c1,Charset option for opened file,1223140,1223140,2017-07-15T12:25:11.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,4ba31337-1bc8-4c31-9b58-ec3cfa957dd1,triple clicking with word wrapping [bug],429925,429925,2017-07-13T09:00:53.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,11ec33fa-206d-4b12-8c9b-3608bfecb84f,Feature request: please assign a shortcut to view -> word wrap,1500959,1500959,2017-07-07T23:38:56.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,ea7bed6b-64b8-40cc-8b41-18e70d896e39,"UI: when attempting to save file, characters outside encoding-range",24411108,24411108,2017-06-30T19:31:27.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,3,ro,,,,,,1923abff-9537-4d20-b684-b441c55d7382,Feature request: Ask for highlighting to be turned on for really long documents,6096063,6096063,2017-06-24T11:38:19.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,22811430-ae93-4413-8679-bb2be2241d2a,Feature request: text folding,6224065,6224065,2017-06-14T12:18:59.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,7450023e-e3b6-4592-bdfd-a166cab86f79,Feature Request: Code formatters,7296506,7296506,2017-06-14T02:30:29.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,0dd74a54-444b-4d64-b0e5-033d3ed84786,The text area can't be scrolled to the bottom,5851348,5851348,2017-06-13T15:15:02.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,5c076b2a-49ae-429f-b989-b9aca3dced46,Feature request: Reload currently opened file,6096063,6096063,2017-05-30T13:25:32.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,6d51b5cf-f179-42d9-9959-834c9358a413,Add a Markdown Viewer Plugin,10137,10137,2017-05-24T13:08:38.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,4c743eff-3c3f-404b-b574-e17d51240037,Scrolling on document tabs doesn't work,781030,781030,2017-05-13T15:43:15.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,a71f03b1-8493-4867-8aff-f1d13fa085ce,Save without trailing spaces should also act on trailing newlines,781030,781030,2017-05-13T12:37:16.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,61405f27-2097-4ca7-a3c1-ed0045b6d64f,Support for CTRL + D shortcut in the xed,23406555,23406555,2017-04-02T20:38:13.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,56a19450-4bde-4b25-beae-d37a55671ddd,Ctrl + arrow keys move the cursor in the wrong direction when using RTL text,6951677,6951677,2017-03-05T15:19:55.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,8184d2b1-9e5b-4164-b49b-7eb45543669a,Bookmark support in editing text,102082,102082,2017-01-20T08:10:20.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,5856c456-3bd6-47d6-a079-651f432a26bd,search auto function chokes on long lines,944636,944636,2017-01-03T03:18:58.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,15,ro,,,,,,5d3fb3eb-f119-44f5-b199-a84c06a4e188,Blank line at end-of-file not displayed,22652174,22652174,2016-12-12T21:21:05.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,2,ro,,,,,,b1bbd71a-8ce1-40c6-89fd-7136d0bd91ea,Bug: Mouse wheel allways close last open tab,4353314,4353314,2016-11-17T11:13:55.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,6e8b5fa8-b406-4441-86a7-d87d1056b79b,feature request: close tab on Ctrl+F4 as web browsers do,1151423,1151423,2016-11-16T10:08:14.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,3,ro,,,,,,85d624c4-93f6-446a-99db-0bc9ae1749af,Hot keys and text block,22030217,22030217,2016-09-19T09:21:44.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,3175dd2c-a42d-476c-a980-f5fdd510c2b3,Allow promotion of open file to root privileges,3515792,3515792,2016-08-20T20:03:15.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,3cc52a18-9a83-4ad9-bbc1-ff1ac64e4237,naming of icon from accessories-text-editor to xed?,10594806,10594806,2016-07-28T13:52:30.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,4,ro,,,,,,20f0b135-0047-404e-9971-72f212e4c9ea,Not really an issue but list dependencies,3687099,3687099,2016-03-25T16:18:49.000+01:00,2019-12-08T17:06:42.000+01:00
,closed,,,,CREATION,1,ro,,,,,,f4c3b91b-ea80-4b45-b9b9-8f725432c104,Create my custom theme,32936161,32936161,2019-10-17T00:23:32.000+02:00,2019-10-17T09:22:43.000+02:00
,closed,,,,CREATION,0,ro,,,,,,5e8f0229-4ec7-4931-a668-e29c3d3632cc,Packaging: remove dependency on libpeas-1.0-0-python3loader,2659687,2659687,2019-09-24T00:42:14.000+02:00,2019-11-14T17:55:50.000+01:00
,closed,,,,CREATION,1,ro,,,,,,e04a5a4b-1236-4bda-b913-e20b38c894b0,Remove hard dependency on libpeas-1.0-0-python3loader,2659687,2659687,2019-08-07T22:04:31.000+02:00,2019-09-24T00:37:27.000+02:00
,closed,,,,CREATION,1,ro,,,,,,78ea5401-3881-488a-a885-c2459cb1d3bc,CTRL Navigation to new line start issue,23385761,23385761,2019-07-30T16:22:28.000+02:00,2019-07-30T17:34:33.000+02:00
,closed,,,,CREATION,0,ro,,,,,,089c9de3-4a38-4371-8dad-ccc0dca29711,Cleanup,19782228,19782228,2019-07-27T18:47:48.000+02:00,2019-11-14T17:56:45.000+01:00
,closed,,,,CREATION,0,ro,,,,,,d6b173d4-5676-4cf4-951c-f432d87bead0,Automatically open new Xed window on current workspace...,102082,102082,2019-07-05T07:12:34.000+02:00,2019-07-10T11:24:53.000+02:00
,closed,,,,CREATION,1,ro,,,,,,76954e64-72c3-4554-bb7e-8602cc2a0d28,Regression: new window of XED does not open on current desktop anymore,102082,102082,2019-07-05T05:24:24.000+02:00,2019-07-10T11:31:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,189f7fb8-49e6-4961-8fa9-310b8078195e,Add open uri plugin,1299302,1299302,2019-06-29T13:59:18.000+02:00,2019-11-22T12:47:57.000+01:00
,closed,,,,CREATION,0,ro,,,,,,14bfb882-09d4-4a30-af8b-76aa4346ce0c,Prevent a warning when closing the window while print preview is open,4095021,4095021,2019-06-20T19:14:46.000+02:00,2019-06-23T14:23:09.000+02:00
,closed,,,,CREATION,0,ro,,,,,,552b2aaf-8de0-4a88-9c89-3a689da1a7d2,"Simplify an if statement. The logic is identical, but easier to read",4095021,4095021,2019-06-20T18:17:41.000+02:00,2019-06-20T18:29:36.000+02:00
,closed,,,,CREATION,0,ro,,,,,,bb8c4e0f-ad7d-4486-ac33-05b2c6393d50,Add minimum required version for xapp,1299302,1299302,2019-06-16T09:34:40.000+02:00,2019-06-23T14:22:47.000+02:00
,closed,,,,CREATION,0,ro,,,,,,bb2a0e88-7f5d-4295-93e7-06240e26a188,Error: Could not generate cargs for xapp,20399374,20399374,2019-06-16T05:36:40.000+02:00,2019-06-23T14:22:47.000+02:00
,closed,,,,CREATION,1,ro,,,,,,3f855bfd-aaf7-47f6-807f-d0b3541db2b9,Tab width popup: only select a menu item when the menu is open,4095021,4095021,2019-06-15T09:02:39.000+02:00,2019-06-15T10:21:58.000+02:00
,closed,,,,CREATION,5,ro,,,,,,f27833c6-58d8-48c7-9a34-58412d448e2d,FR: text indenting?,5296986,5296986,2019-06-12T02:15:47.000+02:00,2019-06-13T18:50:37.000+02:00
,closed,,,,CREATION,2,ro,,,,,,5a7fc005-374f-4506-ab26-79208f00b36a,How to insert a menu one from the end.,179677,179677,2019-06-03T13:42:57.000+02:00,2019-06-04T11:31:02.000+02:00
,closed,,,,CREATION,4,ro,,,,,,68a4e256-a4ce-4ea9-84c6-6defa401fcf0,How to add Xed menus from a python plugin ?,179677,179677,2019-05-29T03:28:02.000+02:00,2019-05-31T01:33:08.000+02:00
,closed,,,,CREATION,4,ro,,,,,,63b85594-2d43-43c8-be89-96f0d5518d84,Gutter and First Line Character Space is too close,9961541,9961541,2019-05-25T14:06:23.000+02:00,2019-05-25T16:12:09.000+02:00
,closed,,,,CREATION,0,ro,,,,,,af0ae7a5-59aa-4e46-b015-a308c4278bc6,Switch deprecated gtk_icon_info_free to g_object_unref,4095021,4095021,2019-05-10T07:50:30.000+02:00,2019-05-13T09:23:40.000+02:00
,closed,,,,CREATION,0,ro,,,,,,6a10a721-dffe-426b-8511-c54b5e9300b4,Fix stuttering and disappearing of the toolbar when fullscreen,4095021,4095021,2019-05-10T07:17:07.000+02:00,2019-05-13T09:23:03.000+02:00
,closed,,,,CREATION,0,ro,,,,,,ce15d689-d0db-456b-9b30-1ab87786ee15,Remove deprecated call to gtk_widget_override_background_color,4095021,4095021,2019-05-10T04:08:32.000+02:00,2019-05-13T09:32:53.000+02:00
,closed,,,,CREATION,0,ro,,,,,,abd27140-ff0c-4bf7-bb20-8a381f448048,Remove references to deprecated GTK_STOCK_*,4095021,4095021,2019-05-10T03:43:55.000+02:00,2019-05-13T09:32:34.000+02:00
,closed,,,,CREATION,0,ro,,,,,,0d7cbc3b-8789-4fc3-ac3a-e6261de822a9,Search: replace a few functions that were deprecated in Gtk 3.22,4095021,4095021,2019-05-07T21:36:42.000+02:00,2019-05-08T11:34:06.000+02:00
,closed,,,,CREATION,0,ro,,,,,,7fb6df19-61d2-45d5-bbb4-bb8974385ec4,Print preview: remove a couple calls to gtk_adjustment_value_changed,4095021,4095021,2019-05-07T21:13:00.000+02:00,2019-05-08T11:29:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,c933a28f-17ce-4b0b-9952-89406d517e0b,Replace deprecated gdk_cursor_new with gdk_cursor_new_for_display,4095021,4095021,2019-05-07T19:47:17.000+02:00,2019-05-08T11:17:46.000+02:00
,closed,,,,CREATION,0,ro,,,,,,3eb4cdac-a390-4e07-9cf0-a4483c9315fc,print job: replace some deprecated font button functions,4095021,4095021,2019-05-07T19:45:04.000+02:00,2019-05-08T11:08:23.000+02:00
,closed,,,,CREATION,0,ro,,,,,,0f2bf5a0-72e4-4180-8830-8d45738aaa73,Filebrowser: Kill the click policy property with fire,4095021,4095021,2019-05-05T03:11:25.000+02:00,2019-05-05T11:20:19.000+02:00
,closed,,,,CREATION,0,ro,,,,,,6dad4607-e720-4753-b29f-3e4a7c020f44,print preview: fix logic for forward button sensitivity,4095021,4095021,2019-05-03T06:22:15.000+02:00,2019-05-05T11:26:59.000+02:00
,closed,,,,CREATION,0,ro,,,,,,d820c703-0dbb-45a1-93df-535460bd7726,print preview: fix layout drawing for 1X2 and 2X1 layouts,4095021,4095021,2019-05-03T04:00:32.000+02:00,2019-05-03T17:19:50.000+02:00
,closed,,,,CREATION,2,ro,,,,,,0864b52e-a5c0-4d9e-b9fa-02cdc2168d60,Add toggle comment and toggle comment block actions w/ keybindings,4095021,4095021,2019-05-02T20:26:57.000+02:00,2019-05-05T11:27:12.000+02:00
,closed,,,,CREATION,0,ro,,,,,,182ee7c0-31fc-4a3f-b67e-e2236aa55f82,Fix some deprecation warnings,4095021,4095021,2019-04-27T02:02:34.000+02:00,2019-05-05T11:25:38.000+02:00
,closed,,,,CREATION,0,ro,,,,,,12ed36bd-134b-4b7b-9811-9e14e2b82faf,xed-notebook: Always show the main notebook tabs,2231759,2231759,2019-04-14T09:57:37.000+02:00,2019-05-05T11:21:19.000+02:00
,closed,,,,CREATION,0,ro,,,,,,24605881-bb03-410e-b604-317aac00f039,xed-window: Fix the tabs/spaces label in the statusbar,2231759,2231759,2019-04-01T04:29:43.000+02:00,2019-05-05T11:20:54.000+02:00
,closed,,,,CREATION,1,ro,,,,,,964cd4f5-a96e-4bd3-ba4e-16af2be988b4,Feature request: storing tabs,26124850,26124850,2019-04-01T01:36:39.000+02:00,2019-04-01T01:55:46.000+02:00
,closed,,,,CREATION,0,ro,,,,,,cab82719-aeb6-4ceb-ab8c-ca1c8483e280,statusbar: Fix the menu button styling,2231759,2231759,2019-03-25T09:56:00.000+01:00,2019-03-25T16:35:27.000+01:00
,closed,,,,CREATION,0,ro,,,,,,d2a302ae-4545-40e7-a4e2-ed766e2ae820,cleanup: Remove an unused Makefile.am,2231759,2231759,2019-03-25T09:45:50.000+01:00,2019-03-25T16:35:47.000+01:00
